epsd,timecode,orig_phrase,orig_type,orig_def,orig_dict,orig_dict_page,equiv_phrase,equiv_type,equiv_def,equiv_dict,equiv_dict_page,ru_loc_Amedia,Amedia_error_type,better_loc_var
1,(33:27),That's rich!,Единство,Something that you say when someone criticizes you to show that you do not think they are being fair because they are as bad as you,Cambridge,324,NA,NA,NA,NA,NA,"""Ну ты даешь, Мэри""",NA,NA
1,(47:44),We can keep playing games ,Сочетание,Deal with someone or something in a way that lacks due seriousness or respect or deviates from the truth. ,Oxford,120,"""Водить за нос""",Единство,"Обманывать, вводить в заблуждение кого-л. ",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),152,"""Можем играть дальше, но...""",Буквализм,"""Можешь дальше водить меня за нос, но..."""
2,(31:06),Saving someone's skin,Единство,To save someone : to help someone get out of a dangerous or difficult situation,Merriam-Webster,(link),"""Спасать свою шкуру""",Единство,Заботиться только о собственном спасении (обычно с оттенком неодобрения).,Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.2),423,"""Ты его покрываешь?""",Семантическое упрощение,"""Спасаешь его шкуру?"""
2,(38:22),Unknown quantity,Сочетание,"If someone or something is an unknown quantity, you do not know much about them or what effect they will have in the future ",Cambridge,408,"""Темная лошадка""",Единство,"(разг.) - о человеке, чьи качества, возможности неясны, неизвестны.","Ожегов С.И. ""Толковый словарь русского языка""",1173,"""Ты в курсе, что ты темная лошадка, ...""",NA,NA
3,(09:21),Put a foot wrong,Единство,To make a mistake ,Cambridge,145,"""Неверный шаг""",Сочетание,"Поступить опрометчиво, необдуманно; ошибиться в своих поступках, действиях.",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),646,"""Идеальная возможность подловить следующую ошибку Шона""",Семантическое упрощение,"""Идеальная возможность увидеть, когда Шон сделает неверный шаг"""
3,(09:29),In the firing line,Единство,"If someone or something is in the firing line, they are likely to be criticized, attacked, or got rid of",Cambridge,138,"""На линии огня"" ",Единство,"В самом центре событий, связанных с риском, опасностью или острой борьбой. Находиться в ситуации, где человек принимает на себя основной удар (критики, ответственности, враждебных действий).",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),719,"""Я понимаю, что ты у нас на линии огня, но..""",NA,NA
3,(11:45),A hell of a (squirrel),Сочетание,Used to emphasize something very bad or great,Oxford,142,NA,NA,NA,NA,NA,"""Ваш муж был тот еще лис, миссис Уоллес""",NA,NA
3,(11:53),Dead end,Единство,A situation in which no longer progress can be made,Cambridge,91,NA,NA,NA,NA,NA," ""Ложные следы, тупики...""",NA,NA
3,(36:38),Head start,Сочетание,To have an advantage that makes you more likely to be successful,Cambridge,182,NA,NA,NA,NA,NA,"""Каждый из вас даст фору в том, что...""",NA,NA
4,(12:03),Look somebody in the eye,Единство,"Directly at someone without showing embarrassment, fear, or shame.",Oxford,177,"""С глазу на глаз""",Единство,"Наедине с кем-л., без посторонних лиц, без свидетелей; один на один. ",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),248,"""Ты поговорил с ним напрямую?""",Семантическое упрощение,"""Ты говорил с ним с глазу на глаз?"""
4,(20:29),To take matters into your own hands,Единство,To deal with a problem yourself because the people who should have dealt with it have failed to do so,Cambridge,248,"""Брать бразды правления в свои руки""",Единство,,Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),77,"""Никто не просил тебя решать""",Семантическое упрощение,"""Никто не просил брать бразды правления в свои руки"""
4,(21:13),Let's see what you made of,Единство,To prove how strong or clever or brave you are,Cambridge,242,NA,NA,NA,NA,NA,"""Посмотрим, из какого ты теста""",NA,NA
4,(21:23),Buck the system,Единство,To oppose the rules of the system: to do things that are not allowed,Merriam-Webster,(link),"""Лезть на рожон""",Сращение,"Предпринимать что-л. заведомо рискованное, обреченное на неудачу и чреватое неприятностями.",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.2),263,"""Еще глубже в систему или подальше от нее""",Опущение без компенсации,"""Они либо лезут на рожон, либо становятся частью системы."""
4,(44:50),I laid eyes on you,Сочетание,To look at somebody,Oxford,169,"""С первого взгляда""",Единство,"По первому впечатлению, в первый момент.",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),126,"""Я сразу понял как только тебя увидел""",Семантическое упрощение,"""Я с первого взгляда понял, что ты коп"""
5,(23:14),Get one's arse in gear,Единство,To force yourself to start working or to hurry - If she doesn't get her arse in gear she'll be late again. (very informal),Cambridge,11,"""Взять себя в руки""",Единство,"Вернуть самообладание, сохранять самообладание.",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.2),277,"""Если Мэл пошевелит булками""",Стилистический диссонанс,"""Если ... наконец возьмет себя в руки и дотащит..."""
6,(05:07),Wait on you hand and foot,Единство,To do everything for someone so that they do not have to do anything for themselves,Cambridge,174,"""Носить на руках""",Единство,"Оказывать особое расположение, внимание; ценить, баловать.",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),675,"""Я теперь должна исполнять все твои прихоти?""",Семантическое упрощение,"""Я теперь должна носить тебя на руках?"""
6,(40:06),Have someone on board ,Сочетание,"If someone is on board, they are working with an organization or group of people",Cambridge,42,"""Стоять у руля""",Единство,"Возглавлять что-либо, руководить чем-либо, направлять деятельность чего-либо (государства, партии, учреждения, дела и т. п.).",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.2),280,"""Мы рады, что ты с нами и стоишь у руля""",NA,NA
7,(08:33),Set the wheels in motion,Единство,Do something to begin a process or put a plan into action.,Oxford,256,"""Привести в действие""",Сочетание,"Заставлять что-либо функционировать, работать или реализовываться; давать толчок к осуществлению чего-либо.",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),314,"""А вдруг он успел запустить процесс?""",NA,NA
7,(31:40),Above and beyond,Единство,More than,Cambridge,1,NA,NA,NA,NA,NA,"""А теперь он зашел дальше""",NA,NA
7,(34:05),Back from the dead,Единство,To become successful or popular again after a period of not being successful or popular ,Cambridge,91,NA,NA,NA,NA,NA,"""Восстала из мертвых""",NA,NA
7,(44:51),Fall to pieces,Единство,"If someone goes to pieces, they become so upset that they are unable to control their feelings or think clearly.",Cambridge,298,NA,NA,NA,NA,NA,"""Я видел, как тяжело ты перенес смерть Финна""",NA,NA
8,(03:15),Take root,Единство,"If an idea, belief, or system takes root somewhere, it starts to be accepted or established there ",Cambridge,329,"""Корни пустить""",Единство,"Прочно, надолго обосноваться где-л.; обзавестить хозяйством.",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),510,"""Ищешь где спрятаться? Я думал ты обоснуешься в тех кустах""",Семантическое упрощение,"""Ищешь где корни пустить? (иронично)..."""
8,(03:23),All over the place,Единство,In a state of confusion or disorganization,Oxford,5,NA,NA,NA,NA,NA,"""Шон рвал и метал""",NA,NA
8,(18:49),In deep shit,Единство,"If someone is in deep shit, they are in a lot of trouble",Cambridge,346,NA,NA,NA,NA,NA,"""Она в полном дерьме""",NA,NA
8,(35:16),Streets ahead,Единство,To be much better or more advanced than someone or something else.,Cambridge,374,"""На голову выше""",Единство,"Намного умнее, опытнее, осведомленнее и т. п. ",Молотков А. (ред.) - Фразеологический словарь русского языка-1968,100,"""У тебя большой отрыв""",Семантическое упрощение,"""Ты на голову выше остальных, и это несмотря на клевету"""
9,(34:41),I don't give a shit,Единство,To not be interested in or worried about something or someone,Cambridge,346,NA,NA,NA,NA,NA,"""Мне насрать, что ты обо мне думаешь""",NA,NA
9,(42:02),Hanging on by a thread,Единство,"If something hangs' by a thread, it is likely to fail in the near future ",Cambridge,389,"""Висеть на волоске""",Единство,"Быть в опасности, в угрожающем положении (близко к смерти, гибели, катастрофе и т.п.)",Фразеологический словарь современного русского литературного языка / Под ред. проф. А.Н. Тихонова (т.1),163,"""Организация Уоллесов держится на соплях""",Стилистический диссонанс,"""Висит на волоске"""